100,200,5.585E-4
200,400,3.457E-4
300,600,3.446E-4
400,800,3.373E-4
500,1000,4.298E-4
600,1200,4.844E-4
700,1400,5.958E-4
800,1600,5.998E-4
900,1800,7.563E-4
1000,2000,9.42E-4
1100,2200,7.984E-4
1200,2400,8.969E-4
1300,2600,0.0011746
1400,2800,7.796E-4
1500,3000,0.0012304
1600,3200,0.0010023
1700,3400,9.905E-4
1800,3600,7.389E-4
1900,3800,7.764E-4
2000,4000,8.793E-4
2100,4200,9.009E-4
2200,4400,9.253E-4
2300,4600,9.713E-4
2400,4800,0.0010468
2500,5000,0.0010472
2600,5200,0.001122
2700,5400,0.0010695
2800,5600,0.00126
2900,5800,0.0012852
3000,6000,0.0012463
3100,6200,0.0013342
3200,6400,0.0012721
3300,6600,0.0016135
3400,6800,0.0011426
3500,7000,5.5E-6
3600,7200,8.817E-4
3700,7400,2.5E-6
3800,7600,0.0013205
3900,7800,3.1E-6
4000,8000,0.0013219
4100,8200,0.0016031
4200,8400,0.0013924
4300,8600,0.0010275
4400,8800,0.0014895
4500,9000,0.0017811
4600,9200,0.0016599
4700,9400,0.0015741
4800,9600,0.0017117
4900,9800,0.0011538
5000,10000,0.0019382
